[3, 2]
[8, 3]
[6, 4]
[18, 5]
[21, 6]
[16, 7]
[12, 8]
[23, 9]
[51, 10]
[11, 11]
[25, 12]
[34, 13]
[52, 14]
[51, 15]
[28, 16]
[48, 17]
[33, 18]
[25, 19]
[84, 20]
[21, 21]
[46, 22]
[73, 23]
[34, 24]
[134, 25]
[123, 26]
[108, 27]
[69, 28]
[18, 29]
[168, 30]
[46, 31]
[70, 32]
[63, 33]
[56, 34]
[133, 35]
[36, 36]
[124, 37]
[26, 38]
[91, 39]
[99, 40]
[63, 41]
[77, 42]
[147, 43]
[47, 44]
[202, 45]
[74, 46]
[49, 47]
[36, 48]
[190, 49]
[451, 50]
[120, 51]
[142, 52]
[185, 53]
[118, 54]
[29, 55]
[79, 56]
[125, 57]
[68, 58]
[97, 59]
[200, 60]
[99, 61]
[48, 62]
[79, 63]
[162, 64]
[242, 65]
[198, 66]
[245, 67]
[60, 68]
[83, 69]
[372, 70]
[122, 71]
[37, 72]
[265, 73]
[389, 74]
[351, 75]
[26, 76]
[138, 77]
[291, 78]
[138, 79]
[211, 80]
[373, 81]
[210, 82]
[306, 83]
[79, 84]
[320, 85]
[455, 86]
[92, 87]
[102, 88]
[72, 89]
[213, 90]
[200, 91]
[82, 92]
[214, 93]
[167, 94]
[325, 95]
[80, 96]
[330, 97]
[523, 98]
[214, 99]
[542, 100]
[86, 101]
[134, 102]
[359, 103]
[156, 104]
[147, 105]
[203, 106]
[137, 107]
[134, 108]
[204, 109]
[108, 110]
[296, 111]
[86, 112]
[149, 113]
[131, 114]
[470, 115]
[73, 116]
[321, 117]
[337, 118]
[294, 119]
[231, 120]
[209, 121]
[126, 122]
[82, 123]
[58, 124]
[884, 125]
[97, 126]
[495, 127]
[377, 128]
[182, 129]
[803, 130]
[268, 131]
[233, 132]
[287, 133]
[838, 134]
[739, 135]
[69, 136]
[555, 137]
[92, 138]
[89, 139]
[501, 140]
[57, 141]
[442, 142]
[288, 143]
[41, 144]
[293, 145]
[923, 146]
[237, 147]
[483, 148]
[309, 149]
[1136, 150]
[100, 151]
[63, 152]
[149, 153]
[513, 154]
[124, 155]
[365, 156]
[657, 157]
[166, 158]
[491, 159]
[514, 160]
[102, 161]
[466, 162]
[693, 163]
[262, 164]
[81, 165]
[384, 166]
[709, 167]
[98, 168]
[795, 169]
[420, 170]
[154, 171]
[556, 172]
[744, 173]
[357, 174]
[921, 175]
[252, 176]
[514, 177]
[274, 178]
[389, 179]
[273, 180]
[195, 181]
[785, 182]
[277, 183]
[100, 184]
[887, 185]
[263, 186]
[412, 187]
[197, 188]
[328, 189]
[403, 190]
[428, 191]
[203, 192]
[846, 193]
[1333, 194]
[634, 195]
[776, 196]
[871, 197]
[259, 198]
[39, 199]
[697, 200]
[321, 201]
[357, 202]
[251, 203]
[165, 204]
[82, 205]
[1445, 206]
[103, 207]
[398, 208]
[203, 209]
[568, 210]
[91, 211]
[253, 212]
[642, 213]
[164, 214]
[1059, 215]
[158, 216]
[540, 217]
[249, 218]
[722, 219]
[126, 220]
[611, 221]
[1111, 222]
[1011, 223]
[103, 224]
[1414, 225]
[560, 226]
[1027, 227]
[152, 228]
[262, 229]
[566, 230]
[176, 231]
[188, 232]
[112, 233]
[418, 234]
[382, 235]
[418, 236]
[740, 237]
[349, 238]
[582, 239]
[285, 240]
[577, 241]
[794, 242]
[1530, 243]
[143, 244]
[1382, 245]
[292, 246]
[608, 247]
[139, 248]
[415, 249]
[597, 251]
[108, 252]
[559, 253]
[1865, 254]
[873, 255]
[925, 256]
[1200, 257]
[656, 258]
[732, 259]
[1026, 260]
[395, 261]
[960, 262]
[440, 263]
[285, 264]
[1368, 265]
[344, 266]
[209, 267]
[987, 268]
[650, 269]
[876, 270]
[665, 271]
[169, 272]
[276, 273]
[706, 274]
[248, 275]
[109, 276]
[1306, 277]
[333, 278]
[287, 279]
[600, 280]
[127, 281]
[228, 282]
[1339, 283]
[520, 284]
[920, 285]
[1045, 286]
[193, 287]
[105, 288]
[1514, 289]
[1059, 290]
[1014, 291]
[1075, 292]
[1378, 293]
[837, 294]
[1393, 295]
[574, 296]
[911, 297]
[1104, 298]
[872, 299]
[1433, 300]
[432, 301]
[369, 302]
[480, 303]
[160, 304]
[134, 305]
[170, 306]
[211, 307]
[590, 308]
[539, 309]
[137, 310]
[763, 311]
[422, 312]
[1493, 313]
[2383, 314]
[611, 315]
[187, 316]
[1524, 317]
[554, 318]
[160, 319]
[1199, 320]
[164, 321]
[106, 322]
[76, 323]
[541, 324]
[1731, 325]
[2483, 326]
[559, 327]
[301, 328]
[65, 329]
[294, 330]
[270, 331]
[430, 332]
[1181, 333]
[877, 334]
[1789, 335]
[108, 336]
[1617, 337]
[2586, 338]
[397, 339]
[469, 340]
[61, 341]
[171, 342]
[2029, 343]
[666, 344]
[627, 345]
[916, 346]
[601, 347]
[413, 348]
[447, 349]
[2684, 350]
[1255, 351]
[584, 352]
[611, 353]
[1707, 354]
[359, 355]
[330, 356]
[366, 357]
[1345, 358]
[910, 359]
[303, 360]
[867, 361]
[222, 362]
[1119, 363]
[882, 364]
[1958, 365]
[315, 366]
[1795, 367]
[109, 368]
[303, 369]
[2852, 370]
[1105, 371]
[300, 372]
[1835, 373]
[454, 374]
[2539, 375]
[232, 376]
[54, 377]
[367, 378]
[964, 379]
[450, 380]
[682, 381]
[1454, 382]
[1884, 383]
[483, 384]
[198, 385]
[2992, 386]
[680, 387]
[1501, 388]
[980, 389]
[2120, 390]
[376, 391]
[878, 392]
[1327, 393]
[1052, 394]
[1932, 395]
[298, 396]
[1940, 397]
[154, 398]
[362, 399]
[1550, 400]
[519, 401]
[1073, 402]
[1067, 403]
[392, 404]
[2755, 405]
[858, 406]
[995, 407]
[179, 408]
[1047, 409]
[297, 410]
[1508, 411]
[1613, 412]
[1237, 413]
[108, 414]
[2263, 415]
[889, 416]
[463, 417]
[222, 418]
[1089, 419]
[620, 420]
[199, 421]
[95, 422]
[237, 423]
[276, 424]
[2332, 425]
[2084, 426]
[642, 427]
[181, 428]
[751, 429]
[3357, 430]
[1109, 431]
[175, 432]
[2144, 433]
[608, 434]
[727, 435]
[281, 436]
[366, 437]
[2406, 438]
[1149, 439]
[145, 440]
[887, 441]
[657, 442]
[2213, 443]
[1218, 444]
[577, 445]
[3499, 446]
[788, 447]
[239, 448]
[1166, 449]
[1551, 450]
[88, 451]
[613, 452]
[518, 453]
[1230, 454]
[1470, 455]
[172, 456]
[2284, 457]
[295, 458]
[178, 459]
[638, 460]
[105, 461]
[611, 462]
[2327, 463]
[427, 464]
[312, 465]
[397, 466]
[2339, 467]
[447, 468]
[724, 469]
[1276, 470]
[1736, 471]
[911, 472]
[1162, 473]
[818, 474]
[2383, 475]
[372, 476]
[572, 477]
[1890, 478]
[1262, 479]
[632, 480]
[1390, 481]
[632, 482]
[111, 483]
[852, 484]
[2679, 485]
[1664, 486]
[2451, 487]
[146, 488]
[894, 489]
[3875, 490]
[1291, 491]
[307, 492]
[663, 493]
[655, 494]
[312, 495]
[306, 496]
[1519, 497]
[443, 498]
[1321, 499]
[3969, 500]
[903, 501]
[1967, 502]
[2537, 503]
[109, 504]
[253, 505]
[618, 506]
[1883, 507]
[1995, 508]
[679, 509]
[978, 510]
[1562, 511]
[2023, 512]
[176, 513]
[1410, 514]
[2607, 515]
[697, 516]
[407, 517]
[2390, 518]
[1927, 519]
[1155, 520]
[50, 521]
[419, 522]
[2635, 523]
[1064, 524]
[1081, 525]
[1445, 526]
[469, 527]
[299, 528]
[2962, 529]
[1475, 530]
[1837, 531]
[367, 532]
[747, 533]
[700, 534]
[993, 535]
[1097, 536]
[1838, 537]
[2120, 538]
[1484, 539]
[970, 540]
[228, 541]
[719, 542]
[936, 543]
[367, 544]
[1450, 545]
[908, 546]
[2767, 547]
[752, 548]
[312, 549]
[821, 550]
[321, 551]
[111, 552]
[1696, 553]
[4410, 554]
[2073, 555]
[361, 556]
[322, 557]
[311, 558]
[1636, 559]
[658, 560]
[958, 561]
[439, 562]
[1032, 563]
[240, 564]
[1053, 565]
[4542, 566]
[1159, 567]
[1114, 568]
[1497, 569]
[986, 570]
[1521, 571]
[1109, 572]
[1977, 573]
[645, 574]
[3229, 575]
[236, 576]
[2933, 577]
[1709, 578]
[2155, 579]
[1139, 580]
[911, 581]
[3266, 582]
[1473, 583]
[1207, 584]
[2194, 585]
[1616, 586]
[2993, 587]
[894, 588]
[229, 589]
[4720, 590]
[2211, 591]
[1226, 592]
[3018, 593]
[952, 594]
[1974, 595]
[1212, 596]
[215, 597]
[923, 598]
[1599, 599]
[1603, 600]
[1582, 601]
[1447, 602]
[1114, 603]
[391, 604]
[564, 605]
[1576, 606]
[3108, 607]
[355, 608]
[283, 609]
[138, 610]
[604, 611]
[181, 612]
[3140, 613]
[705, 614]
[90, 615]
[636, 616]
[3162, 617]
[1737, 618]
[549, 619]
[145, 620]
[380, 621]
[2469, 622]
[475, 623]
[454, 624]
[5884, 625]
[5011, 626]
[978, 627]
[2529, 628]
[1863, 629]
[667, 630]
[1694, 631]
[409, 632]
[440, 633]
[1767, 634]
[3267, 635]
[593, 636]
[295, 637]
[553, 638]
[2235, 639]
[2571, 640]
[1713, 641]
[175, 642]
[3317, 643]
[112, 644]
[1214, 645]
[78, 646]
[3324, 647]
[571, 648]
[788, 649]
[5260, 650]
[634, 651]
[2626, 652]
[3338, 653]
[595, 654]
[707, 655]
[315, 656]
[2469, 657]
[238, 658]
[1759, 659]
[311, 660]
[593, 661]
[885, 662]
[1390, 663]
[455, 664]
[1967, 665]
[1243, 666]
[924, 667]
[927, 668]
[1251, 669]
[5431, 670]
[147, 671]
[113, 672]
[3446, 673]
[5427, 674]
[4789, 675]
[2947, 676]
[1259, 677]
[1268, 678]
[2131, 679]
[499, 680]
[1253, 681]
[62, 682]
[3506, 683]
[178, 684]
[3545, 685]
[5531, 686]
[1220, 687]
[713, 688]
[2055, 689]
[663, 690]
[367, 691]
[956, 692]
[650, 693]
[1934, 694]
[1250, 695]
[451, 696]
[1002, 697]
[471, 698]
[277, 699]
[3302, 700]
[1881, 701]
[1407, 702]
[1880, 703]
[1288, 704]
[437, 705]
[1973, 706]
[1096, 707]
[1898, 708]
[313, 709]
[1158, 710]
[859, 711]
[357, 712]
[656, 713]
[382, 714]
[379, 715]
[1491, 716]
[2538, 717]
[2904, 718]
[1918, 719]
[327, 720]
[563, 721]
[932, 722]
[652, 723]
[234, 724]
[1950, 725]
[3376, 726]
[3753, 727]
[932, 728]
[5183, 729]
[5928, 730]
[2184, 731]
[325, 732]
[3800, 733]
[5962, 734]
[1543, 735]
[113, 736]
[1883, 737]
[316, 738]
[1998, 739]
[3021, 740]
[1390, 741]
[1201, 742]
[1346, 743]
[317, 744]
[2012, 745]
[6075, 746]
[456, 747]
[480, 748]
[384, 749]
[7136, 750]
[2022, 751]
[248, 752]
[2666, 753]
[204, 754]
[255, 755]
[385, 756]
[3918, 757]
[1035, 758]
[647, 759]
[492, 760]
[1034, 761]
[2162, 762]
[1192, 763]
[1585, 764]
[1003, 765]
[2064, 766]
[2288, 767]
[1045, 768]
[519, 769]
[647, 770]
